ime,tip
Biljardnica Direkt - Billiards&Pub,"""Pub"""

Taman Organic,"""Healthy"""

Taman Organic,"""International"""

Pekarna Malo Drugace,"""French"""

Pekarna Malo Drugace,"""European"""

Gostilna Storklja,

Pizzeria Luigi,"""Italian"""

Pizzeria Luigi,"""Pizza"""

Okrepcevalnica Ribnik,"""European"""

Okrepcevalnica Ribnik,"""Slovenian"""

Gostilna Pod Kostanji,"""International"""

Gostilna Pod Kostanji,"""European"""

Sendtvic,"""Pizza"""

Sendtvic,"""Fast Food"""

Naj Kavarna,"""European"""

Naj Kavarna,"""Slovenian"""

Coffe bar \,"""Bar"""

Coffe bar \,"""Pub"""

Pod Strehco,"""Italian"""

Pod Strehco,"""German"""

Slascicarna Galerija Grad,"""European"""

Slascicarna Galerija Grad,"""Slovenian"""

Jurcek Gostilna,"""Pizza"""

Jurcek Gostilna,"""European"""

Cafe Monet,"""Italian"""

Cafe Monet,"""French"""

LOFT32r,"""Italian"""

LOFT32r,"""Pizza"""

TRIO kavarna in restavracija,"""European"""

TRIO kavarna in restavracija,"""Thai"""

Loving Planet,

Gostilna pri Bitencu,"""European"""

Viski hram Ljubljana,"""European"""

Viski hram Ljubljana,"""Central European"""

Resdobr,"""European"""

Resdobr,"""Slovenian"""

Jet Bar,

Bizeljcan,"""European"""

Bizeljcan,"""Slovenian"""

Pub Tivoli,"""Pub"""

Piazza del papa,"""Pizza"""

Buffalo Burger,"""Fast Food"""

Mlinotest,

Gusterija,"""Mediterranean"""

Gusterija,"""European"""

Subito,"""Pizza"""

Gostilna Kirn,"""European"""

Gostilna Kirn,"""Slovenian"""

Sparkling wine Istenic,"""Bar"""

Dunajska Pekarna Loni-pek d.o.o.,"""Pizza"""

Dunajska Pekarna Loni-pek d.o.o.,"""European"""

Gostilna Babnik,

Soba 102,"""Slovenian"""

Okrepcevalnica Time Out,

Ribogojnica in izletniski turizem Kaja Marolt s.p.,

McDonald's,

Belidrin,

Lunch Cafe,"""European"""

Idea Italia,"""Italian"""

Enjoy Italy,"""Italian"""

Enjoy Italy,"""European"""

Cebela,

Piazza del papa,

Svilna Pot,

Hotel Restaurant Medno,"""Italian"""

McDonald's,"""Fast Food"""

rybarska basta,"""European"""

Spanska Vas,"""European"""

Spanska Vas,"""Spanish"""

Okrepcevalnica Bistro Avia Radomir Masovic S.p,

"Ristorante, Pizzeria Bufalaf","""Italian"""

"Ristorante, Pizzeria Bufalaf","""Pizza"""

Dnevni Bar Krenos,

Ostarija Petrinka,"""Pizza"""

Ostarija Petrinka,"""European"""

Tombstone Saloon,

El Clasico,"""Mediterranean"""

BOEM - Tradicionalna Srbska Restavracija,"""European"""

BOEM - Tradicionalna Srbska Restavracija,"""Grill"""

Farao,"""Italian"""

Farao,"""Pizza"""

Klub 300,"""Italian"""

Klub 300,"""Seafood"""

Restavracija 123 Self-Service,"""Pizza"""

Restavracija 123 Self-Service,"""European"""

Basburek Ljubljana,"""Fast Food"""

Swajger,

Wine Bar Suklje,

Smiths Salads & Sandwiches,"""Fast Food"""

Smiths Salads & Sandwiches,"""European"""

Ribarnica Valentin,"""Seafood"""

Ribarnica Valentin,"""European"""

Colnarna Park Tivoli,"""Bar"""

Colnarna Park Tivoli,"""Cafe"""

Dinner In The Dark,"""European"""

Dinner In The Dark,"""Slovenian"""

la storia trattoria,"""Italian"""

Pizzerija Sestinka,"""Pizza"""

Bar Arkade,"""European"""

Bar Arkade,"""Slovenian"""

Pri Slovenki,

Tocka 213,"""Brew Pub"""

Tocka 213,"""Pub"""

Gostilna Pri Micki,

L Bistro & Bar,

Kavarna Tromostovje,"""Bar"""

Kavarna Tromostovje,"""Cafe"""

Meta in Bazilika,"""Italian"""

Meta in Bazilika,"""Pizza"""

Fnx,"""Mediterranean"""

McDonald's,"""Fast Food"""

Gostilna Euro Gurman,

Gostilna Macek,

Kitajski Dvor,"""Chinese"""

Kitajski Dvor,"""Asian"""

Hotel Rakov Skocjan,

Kratochwill,"""European"""

Kratochwill,"""Slovenian"""

Inn Ledinek,"""European"""

Inn Ledinek,"""Slovenian"""

Centralna Postaja,"""American"""

Centralna Postaja,"""Bar"""

Anzic,"""European"""

Terminal Lounge Bar & Club,"""Fast Food"""

Terminal Lounge Bar & Club,"""European"""

HALO PINKI d.o.o.,"""Mexican"""

HALO PINKI d.o.o.,"""Pizza"""

Habibi,"""Mediterranean"""

Habibi,"""Tunisian"""

Biljardnica Kaval,"""Italian"""

Biljardnica Kaval,"""Pizza"""

Gostilna in pizzerija Zajcja dobrava,"""International"""

The Coffee,"""Italian"""

The Coffee,"""European"""

Halo Shaolin,

Bar Kapo Gor,

Urbani Piknik,

Stara Macka,"""Steakhouse"""

Spanska Vas,"""Spanish"""

Rodizio do Brasil,"""Steakhouse"""

Rodizio do Brasil,"""Latin"""

Verace 2.0,"""Pizza"""

Verace 2.0,"""Italian"""

Pizza Marija,"""Italian"""

Pizza Marija,"""Pizza"""

Gostilnica Pri Mostu,"""Pizza"""

Gostilnica Pri Mostu,"""Seafood"""

Halo Katra,

Kavarna LOKUS,"""European"""

Kavarna LOKUS,"""Slovenian"""

Balkan GRILL,

Running Sushi & Wok,"""Asian"""

Running Sushi & Wok,"""Chinese"""

Spica Caffe,"""Cafe"""

Al Capone,"""Italian"""

Al Capone,"""Pizza"""

Gostilna in taverna Stern,"""Slovenian"""

Gostilna in taverna Stern,"""Croatian"""

Drama Kavarna,"""Cafe"""

BIFE - Socna plat solat,

Cokoladnica Ljubljana,"""European"""

Biljardna hisa Ljubljana,"""Brew Pub"""

Biljardna hisa Ljubljana,"""Bar"""

BTC City Ljubljana Dvorana E,"""Cafe"""

BTC City Ljubljana Dvorana E,"""British"""

Blackout Bar & Lounge,"""Fast Food"""

"Trgovina Vzemi s sabo, Andrej Belovic","""European"""

"Trgovina Vzemi s sabo, Andrej Belovic","""Slovenian"""

Fitcity Bar,"""International"""

Fitcity Bar,"""European"""

Pizzerija Medobar,"""Pizza"""

Picerija Pr' Buric,"""Pizza"""

Cacao BTC,"""Bar"""

Cacao BTC,"""European"""

Ali Baba,

Golden Chips,"""American"""

Golden Chips,"""Belgian"""

Polona,"""Italian"""

Letras d.o.o.,"""Italian"""

Letras d.o.o.,"""Mediterranean"""

Okrepcevalnica Pogaca,"""European"""

Okrepcevalnica Pogaca,"""Grill"""

Divinus Wine Store,"""European"""

"Foodie, restavracija in kavarna","""Italian"""

"Foodie, restavracija in kavarna","""International"""

Plata,

Trzenje,

Allegria,"""Italian"""

Allegria,"""Mediterranean"""

Opica Food,"""Fast Food"""

Opica Food,"""European"""

Icelend,"""Bar"""

Icelend,"""Cafe"""

Kingpin Lounge Bar,"""Japanese"""

Kingpin Lounge Bar,"""American"""

Kavarna Square 118,"""European"""

Kavarna Square 118,"""Eastern European"""

Dobra Hisa,"""Seafood"""

Dobra Hisa,"""Mediterranean"""

Biljardnica Direkt,"""Brew Pub"""

Biljardnica Direkt,"""Pizza"""

Rex Bistro,"""Italian"""

Rex Bistro,"""Pizza"""

Bisto Natura,"""Italian"""

Bisto Natura,"""American"""

S' Bistro,"""Italian"""

S' Bistro,"""Mediterranean"""

Kitajska Restavracija,"""Chinese"""

Habitat 32,"""Italian"""

Habitat 32,"""French"""

Kiparna,"""European"""

Kiparna,"""Slovenian"""

Cafe & Vino Bavarc,"""Bar"""

Cafe & Vino Bavarc,"""Cafe"""

Kavarna Trafika,"""Pizza"""

Krel Silvo S.p.,"""Asian"""

Krel Silvo S.p.,"""Vietnamese"""

Miriams Pub,"""European"""

Miriams Pub,"""Pub"""

Nabrezje 15,"""Italian"""

Nabrezje 15,"""European"""

Acapulco lounge bar,"""European"""

Ginger bar,"""Cafe"""

Yortie,"""Deli"""

Kulinaric Hisa Somrak,"""European"""

Roma,"""Italian"""

Roma,"""Pizza"""

