ime,tip
Pizzeria Ljubljanski Dvor,"""Pizza"""

KUHINJA KRUSIC,"""Slovenian"""

KUHINJA KRUSIC,"""European"""

Zlata Ribica,"""Slovenian"""

Zlata Ribica,"""Eastern European"""

Saraj Restavracija,"""Barbecue"""

Saraj Restavracija,"""European"""

Bar Cez Cesto,"""Bar"""

Bar Cez Cesto,"""Pizza"""

Kavarna Rog,"""Cafe"""

Kavarna Rog,"""European"""

Gostilna in pizzerija Jurman,"""Seafood"""

Gostilna in pizzerija Jurman,"""European"""

Veganika,"""Cafe"""

Veganika,"""European"""

Brunch for bunch,"""Slovenian"""

Brunch for bunch,"""Mediterranean"""

diVino restaurant & bar,"""Wine Bar"""

diVino restaurant & bar,"""Italian"""

Restavracija Pen Klub,"""European"""

Barbarella Arkade Bistro (Vegan and Vegeterian),"""Healthy"""

Barbarella Arkade Bistro (Vegan and Vegeterian),"""Street Food"""

Kavarna Tiskarna,"""Bar"""

Kavarna Tiskarna,"""International"""

Gostilna Mihovec,"""Slovenian"""

Gostilna Mihovec,"""European"""

Boschtiz,"""Bar"""

Boschtiz,"""European"""

Maratonec,"""Barbecue"""

Maratonec,"""Slovenian"""

Krtina D'Ampezzo,"""Italian"""

Krtina D'Ampezzo,"""Mediterranean"""

Pri Kovacu,"""European"""

Pri Kovacu,"""Slovenian"""

Gostilna Cubr,"""Slovenian"""

Gostilna Cubr,"""European"""

Taman Organic,"""Healthy"""

Taman Organic,"""International"""

Tandoori,"""Indian"""

Tandoori,"""Asian"""

Pizzeria Parma Ljubljana,"""Pizza"""

Pizzeria Parma Ljubljana,"""Italian"""

Skriti Kot,"""Central European"""

Skriti Kot,"""Mediterranean"""

Sisters Kurtos,"""Hungarian"""

Sisters Kurtos,"""European"""

Argentino,"""Cafe"""

SARAJEVSKI GRILL PAVZA,"""European"""

SARAJEVSKI GRILL PAVZA,"""Eastern European"""

"Utrip - bar, bistro, kavarna","""Bar"""

"Utrip - bar, bistro, kavarna","""Pizza"""

ZMAUC,"""Bar"""

ZMAUC,"""European"""

Loving Hut,"""Chinese"""

Loving Hut,"""Fast Food"""

Okrepcevalnica Ribca,"""Pizza"""

Okrepcevalnica Ribca,"""Seafood"""

Barbarella Juicebar Vegan & Vegetarian,"""Cafe"""

Novi Shanghai,"""Chinese"""

Novi Shanghai,"""Asian"""

Gostilnica in pivnica SISKA,"""Bar"""

Gostilnica in pivnica SISKA,"""Slovenian"""

Piazza Ristorante Pizzeria,"""Italian"""

Piazza Ristorante Pizzeria,"""Pizza"""

Maxim,"""European"""

Maxim,"""Slovenian"""

Repete Jazz & Okrepcila,"""Cafe"""

Repete Jazz & Okrepcila,"""European"""

Holidays' Pub,"""Bar"""

Holidays' Pub,"""Pub"""

Cafe Antico,"""Bar"""

Cafe Antico,"""Pub"""

Cojzla,"""Fast Food"""

Patrick's Irish Pub,"""Irish"""

Patrick's Irish Pub,"""Bar"""

Penzion Kmecki hram,"""Slovenian"""

Penzion Kmecki hram,"""Central European"""

Dubocica,"""Barbecue"""

Dubocica,"""Eastern European"""

Chuty's - Heart Of Asia,"""Seafood"""

Chuty's - Heart Of Asia,"""Asian"""

Kult316,"""Contemporary"""

Kult316,"""Slovenian"""

Operna Klet,"""Seafood"""

Operna Klet,"""Mediterranean"""

Forum,"""Bar"""

Forum,"""European"""

Gostilna Florjanckov Hram,"""Slovenian"""

Gostilna Florjanckov Hram,"""European"""

Winners Lounge,"""Bar"""

Winners Lounge,"""American"""

MoySushi,"""Japanese"""

MoySushi,"""Sushi"""

Tia's Pizza,"""Pizza"""

Tia's Pizza,"""Italian"""

Soba 102,"""Slovenian"""

Taverna Tatjana,"""Seafood"""

Taverna Tatjana,"""Mediterranean"""

Gostilna Tavcar,"""European"""

Gostilna Tavcar,"""Slovenian"""

Pizzeria Laterna,"""Pizza"""

Pizzeria Laterna,"""Italian"""

Roza Slon,"""Fast Food"""

Roza Slon,"""Asian"""

Solist,"""Bar"""

Solist,"""Cafe"""

Grand Cafe Ljubljana,"""Bar"""

Grand Cafe Ljubljana,"""Cafe"""

Krpan,"""Seafood"""

Krpan,"""Mediterranean"""

Gostilna Gorjanc,"""European"""

Gostilna Gorjanc,"""Slovenian"""

Gostilna Pri Vodniku,"""European"""

Gostilna Pri Vodniku,"""Slovenian"""

Plato,"""Cafe"""

Plato,"""Italian"""

"Pizzeria/Picerija, Spagetarija, Kavarna Oliva","""Italian"""

"Pizzeria/Picerija, Spagetarija, Kavarna Oliva","""Pizza"""

Park Zibert,"""Bar"""

Park Zibert,"""International"""

Menagerie,"""French"""

Menagerie,"""Cafe"""

Sax Pub,"""Bar"""

Sax Pub,"""Pub"""

Vegetarian restaurant Radha Govinda,"""Italian"""

Vegetarian restaurant Radha Govinda,"""Indian"""

Gostilna Jelen,"""Pizza"""

Gostilna Jelen,"""European"""

Flo Bistro,"""European"""

Flo Bistro,"""Slovenian"""

Hitra Zlica,"""Slovenian"""

Hitra Zlica,"""European"""

Restavracija Fresco,"""International"""

Restavracija Fresco,"""Mediterranean"""

Gostilna Portal,"""Barbecue"""

Premier Pub,"""Bar"""

Premier Pub,"""Pub"""

Ogam,"""Asian"""

Ogam,"""Korean"""

Intercontinental - hotel restaurant,

Gostilna Stari Tisler,"""Slovenian"""

Gostilna Stari Tisler,"""European"""

Kavarna Macek,"""Bar"""

Kavarna Macek,"""Pub"""

Ajda,"""Fast Food"""

Ajda,"""European"""

Han,"""Chinese"""

Han,"""Asian"""

Okrepcevalnica Zoki,"""Barbecue"""

Okrepcevalnica Zoki,"""European"""

Cielito Lindo,

Soncek,"""Pizza"""

Soncek,"""European"""

Bio restaurant Trnulja,"""European"""

Bio restaurant Trnulja,"""Slovenian"""

Magda,"""Cafe"""

Magda,"""Wine Bar"""

Central Station,"""European"""

Central Station,"""Bar"""

Dinner In The Dark,"""European"""

Dinner In The Dark,"""Slovenian"""

Favola Spageterija & Pizzerija,"""Italian"""

Favola Spageterija & Pizzerija,"""Pizza"""

Picerija da Mattia,"""Italian"""

Picerija da Mattia,"""Pizza"""

Spirit Bar & Kitchen,"""Bar"""

Spirit Bar & Kitchen,"""Grill"""

Ns Plac,"""Cafe"""

Ns Plac,"""Barbecue"""

Rostilj,"""Fast Food"""

Rostilj,"""Barbecue"""

Gostilnica Orle,"""Barbecue"""

Gostilnica Orle,"""Slovenian"""

Kratochwill,"""Bar"""

Kratochwill,"""Pizza"""

Gostilna Dobnikar,"""European"""

Gostilna Dobnikar,"""Slovenian"""

Origano,"""European"""

Origano,"""Italian"""

Gostilnica Vinka,"""International"""

Gostilnica Vinka,"""Central European"""

Zebra Patisseries,"""French"""

Zebra Patisseries,"""Cafe"""

Trappa Pizzeria & Bar,"""Pizza"""

Trappa Pizzeria & Bar,"""Italian"""

Guliver,"""European"""

Guliver,"""Slovenian"""

Balkan Express,"""Slovenian"""

Balkan Express,"""Eastern European"""

Pub Plecnik,"""Steakhouse"""

Pub Plecnik,"""European"""

Korean Bistro Suwon,"""Asian"""

Korean Bistro Suwon,"""Korean"""

Peruzza,"""Pizza"""

Peruzza,"""Italian"""

Ljubljana,"""Eastern European"""

Ljubljana,"""Cafe"""

Cesarsko mesto,"""Chinese"""

Cesarsko mesto,"""Asian"""

Singer Atelier Cafe,"""Slovenian"""

Singer Atelier Cafe,"""Cafe"""

Restaurant Angel,"""European"""

Restaurant Angel,"""Italian"""

Restaurant Union,

Gas Station,"""Bar"""

Gas Station,"""Pub"""

Promenada,"""Pizza"""

Promenada,"""Mediterranean"""

The Prince of Orange,"""Cafe"""

The Prince of Orange,"""European"""

Hallo Leskovac,"""Fast Food"""

Hallo Leskovac,"""Barbecue"""

Restavracija Sole,"""European"""

Allegria,"""Italian"""

Allegria,"""Mediterranean"""

Safran,"""Turkish"""

Safran,"""Middle Eastern"""

Kava Bar Koticek,"""European"""

Kava Bar Koticek,"""Slovenian"""

Nostalgija,"""Bar"""

Nostalgija,"""Cafe"""

Gostilnica Marjeta,"""Italian"""

Gostilnica Marjeta,"""European"""

Juzna Na Plac,

Gostilna Kosir,"""Slovenian"""

Gostilna Kosir,"""European"""

Gostilna Nona,"""European"""

Gostilna Nona,"""Seafood"""

Gostilnica in pivnica Vic,"""Steakhouse"""

Gostilnica in pivnica Vic,"""Italian"""

Dodo Pizza Slovenija,

Ramen by Maru,"""Japanese"""

Ramen by Maru,"""Asian"""

Restavracija Element,"""European"""

Restavracija Element,"""Seafood"""

Pars,"""Middle Eastern"""

Pars,"""Persian"""

Izlozba,"""Mediterranean"""

Izlozba,"""European"""

Livada,"""Slovenian"""

Livada,"""European"""

Fast Food BUREK 1,"""Fast Food"""

Fast Food BUREK 1,"""Pizza"""

Gig,"""Bar"""

Gig,"""International"""

Chang,"""Chinese"""

Separe,"""European"""

Separe,"""Seafood"""

Okrepcevalnica Kongo,"""Bar"""

Okrepcevalnica Kongo,"""International"""

Liquid Bar,"""European"""

Liquid Bar,"""Slovenian"""

Gostilna Rozna Hisa,"""European"""

Gostilna Rozna Hisa,"""Slovenian"""

Kitajski Vrt,"""Chinese"""

Kitajski Vrt,"""Asian"""

Lacna koza,"""Slovenian"""

Lacna koza,"""Mediterranean"""

Lavine - Ice cream rolls,"""Deli"""

Gaudi Ayurvedic & Vegan,"""Healthy"""

Food Porn,"""Bar"""

Food Porn,"""Seafood"""

Brunch,"""Cafe"""

Brunch,"""American"""

Franky's Bar,"""Bar"""

Franky's Bar,"""Cafe"""

Art Bread,

Foodtruck Stara Sola,"""European"""

Foodtruck Stara Sola,"""Slovenian"""

Soba 102,"""Slovenian"""

eVino Wine bar,"""Wine Bar"""

eVino Wine bar,"""European"""

Gostilna Raubar,"""European"""

Gostilna Raubar,"""Slovenian"""

Hombre,"""Mexican"""

Hombre,"""Pizza"""

Flancat Ljubljana,"""Cafe"""

Gostilna Pecaric,"""Slovenian"""

Gostilna Pecaric,"""European"""

LP Bar,"""Bar"""

LP Bar,"""Pub"""

Bistro Ftp,

Gostilna Kersic,"""Barbecue"""

Gostilna Kersic,"""European"""

Atrium,"""International"""

Atrium,"""Soups"""

Restavracija Veliki Hong Kong,"""Chinese"""

Restavracija Veliki Hong Kong,"""Asian"""

Dobrote Vzhoda,"""Chinese"""

Pizzeria Bullizza,"""Pizza"""

Pizzeria Bullizza,"""Italian"""

Clementina Caffe Bar,"""Cafe"""

Restavracija Vozi Misko,

Mr and Mrs Green,"""Healthy"""

Mr and Mrs Green,"""Bar"""

Zmoht,

Kavarna in bistro MihaChef,"""Italian"""

Kavarna in bistro MihaChef,"""European"""

Lepa Zoga,"""Cafe"""

Lepa Zoga,"""Bar"""

Ice Cream Bar Grefino,

Slascicarna Rasica,"""Cafe"""
