ime,rating,glasovi,cena
Slascicarna in Kavarna Dulcis Caffe,4,10,$$ - $$$

Pecnikar,4.5,6,$$ - $$$

Restavracija Zmajev Paviljon,3.5,13,$$ - $$$

Maxi Restavracija Romansa 1971,4,6,null

Bio restaurant Trnulja,4,10,$$ - $$$

Picerija Etna,3.5,34,$$ - $$$

PE Pizza Pub,4.5,8,null

Hotspot Bar & Bistro,4,11,$$ - $$$

Gregorino,4,6,$$ - $$$

Grill point,4,7,null

Gostilnica Kongo,4.5,5,null

Kavarna Mozaik,4,7,$

Restavracija Tartuf,3.5,16,$

Domaca Peka,4.5,6,null

Pizzeria Osmica,4,158,$$ - $$$

McDonald's,3.5,22,$

Osterija pri Oljki,3.5,27,$$ - $$$

Barbado,4.5,5,$

Gostilna Pekel,4,12,$$ - $$$

Beli Labod,3.5,15,$

Cuk Bar,5,3,null

Restaurant and Pizzeria Grad Kodeljevo,3.5,21,$$ - $$$

Gujzina Mencigar Nobile,4,9,$$ - $$$

Long Burgers,5,3,null

Krejan-Levec,5,3,null

Superbabi,4.5,3,$$ - $$$

Yildiz Han - Turska restavracija,3.5,25,$$ - $$$

Reformer Pub,4,9,$

Presnica Take-Away Center (vegan and vegetarian,4.5,3,$

Halo Pinki,4,7,$

Rex Bistro Ljubljana,4.5,4,null

ZAJCEK BAR,4.5,4,null

Pri Kuklju,4.5,7,null

Plecnikov Hram Krizanke,4,6,$

Emonska Klet,3.5,38,$$ - $$$

Moderna Speciality Cafe,4,12,$$ - $$$

Dok 19,3.5,14,null

Park Bar,4,9,$$ - $$$

Skrnic'lj,4.5,3,null

Taco Polako,5,2,$

Curry Life Figovec,4.5,4,null

Asian fusion restaurant TLOFT,3.5,42,$$ - $$$

Zaromanija,5,2,$

Trnovski zvon,3.5,57,$$ - $$$

Nim 8 Min,3.5,7,$

Soba 102,4,192,$$ - $$$

Plac,4,12,$$ - $$$

Degustarna,3.5,9,$

Das ist Valter Ljubljana Center,5,16,$

Sunknzemlja,4.5,3,null

Mala Mal'ca,5,2,null

Restavracija XXXL,3.5,8,null

Aga Kebap,3.5,11,$

Gostilnica Stara trta,5,2,null

Grajska Kavarna,3.5,36,$$ - $$$

kitajska restavracija kitajski zmaj,3.5,16,$$ - $$$

Gostilna Brinovc,5,2,$$$$

Picestavracija Boccaccio,3.5,26,$$ - $$$

volta cafe,4,10,$

To Je Noro,4,8,null

Nisa Lokal Bistro,5,2,$

Gostisce Vrbinc,4,4,null

Arhiv bar,5,2,null

Kacji pastir,4,4,null

Marjetice,5,2,null

Super Psanc PE Pavilion,5,2,null

+Kantina MSUM,5,6,$

Imperio Mexicano,3,34,$$ - $$$

Rocky's Craft Grill & Beer,4,5,$

Kapuciner Kavarna,4.5,2,null

Kashmir Indijska Restavracija,4,4,$

Cube burger,3.5,14,$$ - $$$

Okrepcevalnica Podhod,5,2,null

Buf Gostinstvo,3.5,6,null

Surf'n'fries,4.5,2,$

Gostilna Jerincek,5,2,null

Rodizio do Brasil,4.5,169,$$ - $$$

Majmun restaurant & bar,4,10,$$ - $$$

Gostilna in Pizzerija Breza,3.5,6,null

SRCEK,4.5,3,null

Duff,5,2,null

Galerija Bar Trenutek,4.5,2,$

Casa Wine & Tapas,4.5,3,$

ZAK,4,3,null

DEKANTER Wine boutique,5,2,$$$$

ALTER,4.5,3,null

Crnuski Dvor,4,3,null

Gostilna Pri Tincku,4.5,4,null

Restavracija & Pizzeria Tartuf,4,5,null

Svetilnik,4,4,null

Kurji tat,3.5,10,$

Pub Pod Skalco,3.5,9,$

Pizza 8,5,2,null

Istanbul Kavarna,5,1,null

Kavarna Mackon,5,1,null

Kraljzara,5,1,null

Dobro Jutro Vietnam in Ljubljana,4,2,$

Restavracija Puccini,3,33,$$ - $$$

Cafe METROPOL,5,1,$

Kavarna Pavon,5,1,null

Bistro Egoistka,3.5,3,null

Zlati zob,5,1,null

Bistro Svicarija,5,1,$

barjan,4.5,3,null

Asan Chill & Lounge Room,5,1,null

Bulldog Bar,5,1,null

Biljardnica Direkt - Billiards&Pub,5,1,null

Taman Organic,4.5,86,$$ - $$$

Pekarna Malo Drugace,5,1,null

Gostilna Storklja,5,1,null

Pizzeria Luigi,3,28,$

Okrepcevalnica Ribnik,5,1,$$ - $$$

Gostilna Pod Kostanji,5,1,null

Sendtvic,5,1,null

Naj Kavarna,5,1,null

Coffe bar \,4,2,$

Pod Strehco,5,1,$

Slascicarna Galerija Grad,4,10,$$ - $$$

Jurcek Gostilna,3.5,10,null

Cafe Monet,3.5,3,$$ - $$$

LOFT32r,5,1,$$ - $$$

TRIO kavarna in restavracija,5,1,null

Loving Planet,5,2,null

Gostilna pri Bitencu,3.5,7,null

Viski hram Ljubljana,4,2,$$ - $$$

Resdobr,3.5,5,$$ - $$$

Jet Bar,3.5,12,$$ - $$$

Bizeljcan,3.5,3,null

Pub Tivoli,5,1,$$ - $$$

Piazza del papa,3.5,4,null

Buffalo Burger,3.5,4,null

Mlinotest,5,1,null

Gusterija,3.5,3,$$ - $$$

Subito,3.5,6,$$ - $$$

Gostilna Kirn,3.5,9,null

Sparkling wine Istenic,5,1,null

Dunajska Pekarna Loni-pek d.o.o.,4,1,null

Gostilna Babnik,4,1,null

